locationLongitude(WGS84),locationLatitude(WGS84),locationSpeed(m/s),accelerometerAccelerationX(G),accelerometerAccelerationZ(G)
24.80038,60.1756,3,0,-1
24.80038,60.1756,3,0,-1
24.80038,60.1756,3,0,-1
24.80038,60.1756,3,0,-1
24.80038,60.1756,3,0,-1
24.80038,60.1756,3,0,-1
24.80038,60.1756,3,0,-1
24.80038,60.1756,3,0,-1
24.80038,60.1756,3,0,-1
24.80038,60.1756,3,0,-1
24.80038,60.1756,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80054,60.17532,3,0,-1
24.80055,60.17529,3,0,-1
24.80055,60.17529,3,0,-1
24.80055,60.17529,3,0,-1
24.80055,60.17529,3,0,-1
24.80055,60.17529,3,0,-1
24.80055,60.17529,3,0,-1
24.80055,60.17529,3,0,-1
24.80061,60.17519,3,0,-1
24.80061,60.17519,3,0,-1
24.80061,60.17519,3,0,-1
24.80061,60.17519,3,0,-1
24.80061,60.17519,3,0,-1
24.80061,60.17519,3,0,-1
24.80061,60.17519,3,0,-1
24.80063,60.17515,3,0,-1
24.80063,60.17515,3,0,-1
24.80063,60.17515,3,0,-1
24.80063,60.17515,3,0,-1
24.80063,60.17515,3,0,-1
24.80063,60.17515,3,0,-1
24.80063,60.17515,3,0,-1
24.80069,60.17503,3,0,-1
24.80069,60.17503,3,0,-1
24.80069,60.17503,3,0,-1
24.80069,60.17503,3,0,-1
24.80069,60.17503,3,0,-1
24.80076,60.17488,3,0,-1
24.80083,60.17476,3,0,-1
24.80083,60.17476,3,0,-1
24.80083,60.17476,3,0,-1
24.80083,60.17476,3,0,-1
24.80083,60.17476,3,0,-1
24.80083,60.17476,3,0,-1
24.80083,60.17476,3,0,-1
24.80092,60.17452,3,0,-1
24.80092,60.17452,3,0,-1
24.80092,60.17452,3,0,-1
24.80092,60.17452,3,0,-1
24.80092,60.17452,3,0,-1
24.80092,60.17452,3,0,-1
24.80092,60.17452,3,0,-1
24.80092,60.17452,3,0,-1
24.80092,60.17452,3,0,-1
24.80092,60.17452,3,0,-1
24.80092,60.17452,3,0,-1
24.80092,60.17452,3,0,-1
24.80092,60.17452,3,0,-1
24.8009209,60.174518,3,0,-1
24.8009209,60.174518,3,0,-1
24.8009209,60.174518,3,0,-1
24.8009209,60.174518,3,0,-1
24.8009209,60.174518,3,0,-1
24.8009209,60.174518,3,0,-1
24.8009209,60.174518,3,0,-1
24.8009209,60.174518,3,0,-1
24.8009209,60.174518,3,0,-1
24.8009209,60.174518,3,0,-1
24.8009209,60.174518,3,0,-1
24.80096,60.17443,3,0,-1
24.80096,60.17443,3,0,-1
24.80096,60.17443,3,0,-1
24.80096,60.17443,3,0,-1
24.80096,60.17443,3,0,-1
24.80096,60.17443,3,0,-1
24.80096,60.17443,3,0,-1
24.80096,60.17443,3,0,-1
24.80096,60.17443,3,0,-1
24.80096,60.17443,3,0,-1
24.80096,60.17443,3,0,-1
24.80096,60.17443,3,0,-1
24.80096,60.17443,3,0,-1
24.80096,60.17443,3,0,-1
24.80096,60.17443,3,0,-1
24.80104,60.17431,3,0,-1
24.80104,60.17431,3,0,-1
24.80104,60.17431,3,0,-1
24.80104,60.17431,3,0,-1
24.80115,60.17412,3,0,-1
24.80115,60.17412,3,0,-1
24.80115,60.17412,3,0,-1
24.80115,60.17412,3,0,-1
24.80115,60.17412,3,0,-1
24.80115,60.17412,3,0,-1
24.80115,60.17412,3,0,-1
24.80115,60.17412,3,0,-1
24.80115,60.17412,3,0,-1
24.80115,60.17412,3,0,-1
24.80115,60.17412,3,0,-1
24.80138,60.17377,3,0,-1
24.80138,60.17377,3,0,-1
24.80138,60.17377,3,0,-1
24.80138,60.17377,3,0,-1
24.80138,60.17377,3,0,-1
24.80138,60.17377,3,0,-1
24.80138,60.17377,3,0,-1
24.80138,60.17377,3,0,-1
24.80138,60.17377,3,0,-1
24.80139,60.17375,3,0,-1
24.80139,60.17375,3,0,-1
24.80139,60.17375,3,0,-1
24.80139,60.17375,3,0,-1
24.80139,60.17375,3,0,-1
24.80139,60.17375,3,0,-1
24.80139,60.17375,3,0,-1
24.80139,60.17375,3,0,-1
24.80139,60.17375,3,0,-1
24.80139,60.17375,3,0,-1
24.80149,60.17376,3,0,-1
24.80149,60.17376,3,0,-1
24.80149,60.17376,3,0,-1
24.80149,60.17376,3,0,-1
24.80149,60.17376,3,0,-1
24.80149,60.17376,3,0,-1
24.80149,60.17376,3,0,-1
24.80149,60.17376,3,0,-1
24.80149,60.17376,3,0,-1
24.80149,60.17376,3,0,-1
24.80149,60.17376,3,0,-1
24.80149,60.17376,3,0,-1
24.80149,60.17376,3,0,-1
24.80149,60.17376,3,0,-1
24.80149,60.17376,3,0,-1
24.80149,60.17376,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
24.8014866,60.1737616,3,0,-1
